rcl_codigo,rcl_nivel,rcl_subnivel,articulo,cantidad
RCL101-C001,2,1,2352346,32
RCL101-C001,2,1,3352175,79
RCL100-C001,1,1,9041260,66
RCL101-C001,4,1,3352170,230
RCL101-C001,4,1,2352343,30
RCL101-C002,1,1,2352345,12
RCL101-C002,1,1,2352341,47
RCL101-C002,2,1,2352340,14
RCL101-C002,2,1,2352338,59
RCL101-C002,3,1,2352337,34
RCL101-C002,4,1,3352146,23
RCL101-C002,4,1,0748016,14
RCL101-C002,4,1,3352177,22
RCL101-C003,1,1,3352171,62
RCL101-C003,1,1,3352140,51
RCL101-C003,2,1,2352344,36
RCL100-C001,5,1,9041268,16
RCL100-C002,1,1,9041279,25
RCL101-C003,2,1,3352149,45
RCL101-C003,3,1,3352178,84
RCL101-C003,3,1,2352336,21
RCL101-C003,4,1,3352176,308
RCL101-C003,4,1,3352152,2
RCL101-C003,4,1,3352154,258
RCL101-C003,4,1,3352173,66
RCL102-C001,4,1,7502430,1125
RCL103-C001,2,1,5001431,659
RCL103-C001,3,1,6032634,424
RCL104-C001,2,1,4020230,111
RCL104-C001,3,1,4020210,142
RCL104-C001,3,1,4020212,160
RCL104-C001,4,1,5180018,176
RCL104-C002,4,1,038070020,166
RCL104-C003,4,1,0140033,17
RCL105-C001,4,1,6032630,76
RCL100-C003,1,1,9041205,57
RCL105-C002,3,1,6032632,152
RCL105-C002,4,1,5120403,62
RCL105-C003,4,1,5140014,93
RCL106-C001,2,1,7550982,423
RCL106-C001,3,1,7501135,1857
RCL100-C003,3,1,9041233,39
RCL106-C002,1,1,6401022,210
RCL106-C002,1,1,6401003,170
RCL106-C002,2,1,6401018,180
RCL106-C002,2,1,6010111,236
RCL106-C002,3,1,6401020,127
RCL106-C002,4,1,052440165,609
RCL106-C003,1,1,7550924,400
RCL106-C003,3,1,5140004,179
RCL107-C001,1,1,6032671,134
RCL107-C001,5,1,6032610,49
RCL107-C002,1,1,7040010,85
RCL107-C002,5,1,7551089,2
RCL107-C003,3,1,6401019,85
RCL107-C003,4,1,5180030,178
RCL107-C004,3,1,1520074,660
RCL107-C004,4,1,5180021,888
RCL108-C001,4,1,500188,105
RCL108-C001,5,1,6032612,86
RCL109-C001,3,1,1535267,389
RCL110-C001,1,1,7550728,360
RCL110-C001,3,1,038070015,150
RCL111-C001,1,1,7501137,1932
RCL112-C001,1,1,7550974,198
RCL113-C001,3,1,8690033,233
RCL113-C001,4,1,92110225,509
RCL113-C002,3,1,7040009,192
RCL113-C002,4,1,1520018,1491
RCL113-C002,5,1,7551090,30
RCL113-C003,1,1,7040009,1
RCL113-C003,2,1,7551091,2
RCL113-C003,3,1,7551088,40
RCL113-C003,3,1,7551077,44
RCL114-C001,5,1,6032812,690
RCL114-C002,1,1,7550973,1076
RCL114-C002,3,1,9041081,134
RCL114-C002,4,1,7551093,2
RCL114-C002,5,1,7551094,9
RCL114-C003,1,1,9041089,5
RCL114-C003,1,1,5170049,360
RCL114-C003,1,1,5170041,1
RCL114-C003,2,1,5170039,25
RCL114-C003,3,1,9041091,138
RCL114-C003,3,1,5170037,21
RCL114-C003,4,1,5137015,1
RCL114-C003,4,1,9041082,58
RCL106-C001,1,1,6401017,210
RCL114-C004,4,1,3700139,1
RCL115-C001,1,1,4020228,289
RCL115-C001,1,1,4020219,205
RCL115-C001,1,1,4020222,37
RCL115-C001,1,1,4020220,388
RCL115-C001,1,1,4020221,190
RCL115-C001,2,1,4020227,171
RCL115-C001,2,1,4020224,78
RCL115-C001,2,1,4020217,7
RCL115-C001,2,1,4020214,36
RCL115-C001,3,1,4020226,88
RCL115-C001,3,1,4020216,87
RCL115-C001,3,1,4020229,146
RCL115-C001,3,1,4020225,220
RCL115-C001,4,1,4020218,42
RCL115-C001,4,1,4020223,62
RCL115-C001,5,1,0050116,48
RCL115-C001,5,1,4020213,104
RCL115-C002,1,1,9203205,170
RCL115-C002,1,1,4535029,5
RCL115-C002,1,1,4020211,74
RCL115-C002,5,1,0050012,343
RCL115-C003,1,1,0230001,24
RCL115-C003,2,1,3256013,67
RCL115-C003,2,1,0560101,3
RCL115-C003,3,1,0570020,48
RCL115-C003,3,1,0050000,434
RCL115-C003,5,1,9203201,117
RCL115-C003,5,1,2330013,1
RCL115-C003,5,1,0050003,405
RCL115-C004,1,1,0050015,3
RCL115-C004,1,1,9203204,2
RCL115-C004,2,1,0050010,141
RCL115-C004,3,1,0460100,6
RCL115-C004,3,1,0420201,52
RCL113-C003,2,1,7551079,24
RCL115-C004,3,1,9203202,118
RCL115-C004,4,1,2330010,12
RCL115-C004,4,1,0570022,26
RCL115-C004,4,1,0050004,2
RCL115-C004,5,1,0050002,116
RCL116-C001,1,1,0050119,12
RCL116-C001,1,1,0050120,104
RCL116-C001,1,1,0050104,35
RCL116-C001,2,1,0050165,1
RCL116-C001,2,1,0050159,1
RCL116-C001,2,1,0050161,132
RCL116-C001,2,1,0050164,33
RCL116-C001,3,1,0050146,20
RCL116-C001,3,1,7060129,380
RCL116-C001,3,1,7060119,215
RCL116-C001,4,1,7060134,476
RCL116-C001,4,1,7550981,10
RCL116-C001,4,1,7060247,1770
RCL116-C001,5,1,7060128,350
RCL116-C001,5,1,7060132,917
RCL114-C003,5,1,9041086,1
RCL116-C001,5,1,7060111,88
RCL116-C002,1,1,6401024,9
RCL116-C002,1,1,6401029,26
RCL116-C002,2,1,6401021,40
RCL116-C002,4,1,6032000,217
RCL116-C002,4,1,6095000,270
RCL116-C002,4,1,6401026,33
RCL116-C002,5,1,7060004,110
RCL116-C002,5,1,7060245,53
RCL116-C002,5,1,7060130,1561
RCL116-C002,5,1,7060124,6900
RCL116-C002,5,1,7060249,615
RCL116-C003,2,1,7060005,1
RCL116-C003,2,1,7060029,178
RCL116-C003,2,1,7060031,74
RCL116-C003,2,1,7060051,21
RCL116-C003,3,1,7060030,167
RCL116-C003,3,1,7550647,44
RCL116-C003,3,1,7060054,125
RCL116-C003,3,1,7550911,179
RCL116-C003,3,1,7550668,6
RCL116-C003,3,1,7550637,19
RCL116-C003,4,1,7550659,7
RCL116-C003,4,1,7550639,30
RCL116-C003,4,1,7550630,7
RCL116-C003,4,1,7550657,38
RCL116-C003,4,1,7060052,359
RCL116-C003,4,1,7550621,58
RCL116-C003,4,1,7550638,63
RCL116-C004,2,1,3270100,496
RCL116-C004,2,1,7550923,213
RCL116-C004,4,1,7550650,20
RCL116-C004,4,1,9203200,550
RCL116-C004,5,1,0050008,108
RCL117-C001,1,1,7060243,349
RCL115-C003,5,1,9110000,38
RCL117-C001,1,1,7060253,441
RCL117-C001,1,1,7550925,100
RCL117-C001,1,1,7550920,569
RCL117-C001,1,1,7060131,544
RCL117-C001,2,1,7060238,741
RCL117-C001,2,1,7060244,44
RCL117-C001,2,1,7060113,184
RCL117-C001,2,1,7060251,318
RCL117-C001,2,1,7060248,1022
RCL117-C001,3,1,7060239,90
RCL117-C001,3,1,7060223,49
RCL117-C001,3,1,7550921,125
RCL117-C001,3,1,7060136,7800
RCL117-C001,4,1,7060240,197
RCL117-C001,4,1,7060118,500
RCL117-C001,4,1,7060236,1760
RCL117-C001,4,1,7550980,333
RCL117-C001,5,1,7060242,393
RCL117-C001,5,1,7550928,1358
RCL117-C001,5,1,7060121,70
RCL117-C001,5,1,7060235,580
RCL117-C001,5,1,7060250,681
RCL117-C002,1,1,5998006,3000
RCL117-C002,1,1,7550935,2079
RCL117-C002,1,1,7060204,109
RCL117-C002,2,1,7060241,144
RCL117-C002,2,1,7060252,82
RCL117-C002,2,1,7060246,33
RCL117-C002,2,1,7060103,290
RCL117-C002,2,1,7060104,82
RCL117-C002,3,1,7060200,35
RCL117-C002,3,1,7060109,39
RCL117-C002,3,1,7060254,170
RCL117-C002,3,1,7060100,373
RCL117-C002,4,1,7060106,961
RCL117-C002,5,1,7060202,178
RCL117-C002,5,1,7060203,292
RCL117-C003,1,1,7060107,102
RCL117-C003,1,1,7060117,79
RCL117-C003,1,1,7550970,45
RCL117-C003,1,1,7060126,250
RCL117-C003,1,1,7060108,99
RCL117-C003,2,1,7060221,55
RCL117-C003,2,1,7060115,231
RCL117-C003,2,1,7060133,212
RCL117-C003,2,1,7060112,496
RCL117-C003,3,1,7060224,59
RCL117-C003,3,1,7060122,59
RCL117-C003,3,1,7060101,683
RCL117-C003,4,1,7060233,20
RCL117-C003,4,1,7060228,20
RCL117-C003,4,1,7060207,48
RCL117-C003,4,1,7060125,1680
RCL117-C003,5,1,7550972,108
RCL117-C003,5,1,7060120,60
RCL117-C003,5,1,7060230,91
RCL117-C003,5,1,7060205,105
RCL117-C004,1,1,7060209,8
RCL117-C004,1,1,7060208,64
RCL117-C004,2,1,7060229,207
RCL117-C004,2,1,7060206,22
RCL117-C004,2,1,7060211,69
RCL117-C004,2,1,7060217,22
RCL117-C004,3,1,7060227,3
RCL117-C004,3,1,7060214,13
RCL117-C004,3,1,7060220,14
RCL117-C004,4,1,7060222,12
RCL117-C004,4,1,7060218,18
RCL117-C004,4,1,7550922,48
RCL117-C004,5,1,7060234,74
RCL117-C004,5,1,7060232,35
RCL117-C004,5,1,7060213,29
RCL118-C001,1,1,5180400,40
RCL118-C001,1,1,5240412,1
RCL118-C001,1,1,5140601,47
RCL118-C001,2,1,5240411,5
RCL118-C001,2,1,3003080,3
RCL118-C001,2,1,5170509,7
RCL118-C001,2,1,5240414,1
RCL118-C001,3,1,5170519,136
RCL118-C001,3,1,5170514,16
RCL118-C001,3,1,5170524,38
RCL118-C001,4,1,5120106,237
RCL118-C001,4,1,5240410,1
RCL118-C001,4,1,5170515,113
RCL118-C001,4,1,5170517,298
RCL118-C001,4,1,5170508,237
RCL118-C002,2,1,5240416,1
RCL118-C002,2,1,5240419,3
RCL118-C002,2,1,5140604,3
RCL118-C002,3,1,5170525,50
RCL118-C002,3,1,5240406,7
RCL118-C002,3,1,5170523,293
RCL118-C002,3,1,5170510,39
RCL118-C002,4,1,5180405,176
RCL118-C002,4,1,5170516,69
RCL118-C003,1,1,5170505,60
RCL118-C003,1,1,5180403,43
RCL118-C003,2,1,5240401,25
RCL118-C003,2,1,5180406,59
RCL118-C003,4,1,5170522,23
RCL118-C003,4,1,5170504,677
