mz_pasillo,mz_columna,articulo,estado
MZ01,16,7060241,pendiente
MZ01,16,6104588,pendiente
MZ01,16,5501136,pendiente
MZ01,16,6100130,pendiente
MZ01,16,6104570,pendiente
MZ01,16,500110,pendiente
MZ01,16,5170012,pendiente
MZ01,16,5170015,pendiente
MZ01,16,7506190,pendiente
MZ01,16,1628821,pendiente
MZ01,16,665597,pendiente
MZ01,16,1628820,pendiente
MZ01,16,2352300,pendiente
MZ01,16,2385008,pendiente
MZ01,16,4530146,pendiente
MZ01,16,2330404,pendiente
MZ02,20,7506170,pendiente
MZ02,21,7062417,pendiente
MZ01,17,7060101,pendiente
MZ01,17,6020412,pendiente
MZ01,17,6100165,pendiente
MZ01,17,5501125,pendiente
MZ01,17,6100166,pendiente
MZ01,17,61003012,pendiente
MZ01,17,3525093,pendiente
MZ01,17,6100127,pendiente
MZ01,17,6104579,pendiente
MZ01,17,500116,pendiente
MZ01,17,500117,pendiente
MZ01,17,500111,pendiente
MZ01,17,7502488,pendiente
MZ01,17,2385007,pendiente
MZ01,17,2352302,pendiente
MZ01,17,1629145,pendiente
MZ01,17,4530158,pendiente
MZ01,17,2330178,pendiente
MZ01,17,052440038,pendiente
MZ01,18,6020426,pendiente
MZ01,18,6100129,pendiente
MZ01,18,5140310,pendiente
MZ01,18,5140039,pendiente
MZ01,18,7506257,pendiente
MZ01,18,7506136,pendiente
MZ01,18,7502426,pendiente
MZ01,18,7502404,pendiente
MZ01,18,7506420,pendiente
MZ01,18,7506200,pendiente
MZ01,18,7502424,pendiente
MZ01,18,879165,pendiente
MZ01,18,961927,pendiente
MZ01,18,666054,pendiente
MZ01,18,4530148,pendiente
MZ01,18,052440039,pendiente
MZ02,22,5180021,pendiente
MZ02,23,7506457,pendiente
MZ01,19,5180020,pendiente
MZ01,20,5170019,pendiente
MZ01,20,7506376,pendiente
MZ01,20,7601214,pendiente
MZ01,20,7507048,pendiente
MZ01,20,7502438,pendiente
MZ01,20,1574675,pendiente
MZ01,20,7702045342031,pendiente
MZ01,20,2330235,pendiente
MZ01,20,2385001,pendiente
MZ01,20,4530156,pendiente
MZ01,20,023450002,pendiente
MZ01,20,052440149,pendiente
MZ01,20,9200330,pendiente
MZ02,24,038070015,pendiente
MZ02,25,878628,pendiente
MZ01,21,5140015,pendiente
MZ01,22,3525004,pendiente
MZ02,26,500113,pendiente
MZ02,26,5180002,pendiente
MZ02,26,7506238,pendiente
MZ02,26,7502408,pendiente
MZ02,26,7506223,pendiente
MZ02,26,7110205,pendiente
MZ02,26,7506256,pendiente
MZ02,26,7506248,pendiente
MZ02,26,297692,pendiente
MZ02,26,2352301,pendiente
MZ02,26,033010024,pendiente
MZ02,26,031480013,pendiente
MZ02,26,6150016,pendiente
MZ02,26,2330176,pendiente
MZ02,26,0380003,pendiente
MZ02,27,5230104,pendiente
MZ01,23,500115,pendiente
MZ02,28,3525015,pendiente
MZ02,29,7060254,pendiente
MZ02,29,500118,pendiente
MZ02,29,500109,pendiente
MZ02,29,5140041,pendiente
MZ02,29,5180019,pendiente
MZ02,29,5090109,pendiente
MZ02,29,7090015,pendiente
MZ02,29,7502406,pendiente
MZ02,29,7040807,pendiente
MZ02,29,7506400,pendiente
MZ02,29,2352001,pendiente
MZ02,29,961922,pendiente
MZ02,29,038070013,pendiente
MZ02,29,052440056,pendiente
MZ02,29,9200250,pendiente
MZ02,29,0200007,pendiente
MZ02,29,0610151,pendiente
MZ01,25,5140009,pendiente
MZ01,26,6020434,pendiente
MZ01,26,6020424,pendiente
MZ01,26,6020416,pendiente
