id,mz_pasillo,mz_columna,mz_nivel,rcl_codigo,rcl_nivel,articulo,cantidad,orden
1732,MZ01,1,N01,RCL195-C004,1,0560004,7,1
1733,MZ01,1,N05,RCL195-C004,1,92110147,18,2
1734,MZ01,1,N01,RCL195-C004,2,9111008,10,3
1735,MZ01,1,N01,RCL195-C004,3,9112036,5,4
1736,MZ01,1,N04,RCL195-C004,6,9112030,16,5
1737,MZ01,1,N04,RCL197-C002,5,3018005,491,6
1738,MZ01,1,N03,RCL200-C001,3,1205011,7,7
1739,MZ01,1,N03,RCL200-C001,4,1205023,6,8
1740,MZ01,1,N02,RCL201-C001,2,3070002,71,9
1741,MZ01,1,N02,RCL83-C004,4,7041020,47,10
1742,MZ01,1,N02,RCL83-C004,5,7041029,50,11
1771,MZ01,2,N05,RCL181-C004,2,9200154,792,1
1772,MZ01,2,N05,RCL181-C004,3,9200139,1,2
1773,MZ01,2,N01,RCL182-C004,3,0164003,24,3
1774,MZ01,2,N04,RCL182-C004,5,1558003,72,4
1775,MZ01,2,N03,RCL183-C001,4,0106010,4,5
1776,MZ01,2,N03,RCL183-C001,5,1525014,180,6
1777,MZ01,2,N02,RCL183-C002,1,0506124,8,7
1778,MZ01,2,N03,RCL183-C002,1,0506020,6,8
1779,MZ01,3,N05,RCL178-C001,2,2352326,6,1
1780,MZ01,3,N05,RCL178-C001,2,2352329,12,2
1781,MZ01,3,N05,RCL178-C001,2,2392352,1,3
1782,MZ01,3,N01,RCL179-C001,2,2392391,6,4
1783,MZ01,3,N01,RCL180-C001,1,9200192,132,5
1784,MZ01,3,N04,RCL180-C001,3,9200225,195,6
1785,MZ01,3,N04,RCL180-C001,4,9200120,8,7
1786,MZ01,3,N03,RCL180-C003,2,9200279,29,8
1787,MZ01,3,N02,RCL180-C004,2,9200199,267,9
1788,MZ01,3,N02,RCL180-C004,3,9200187,538,10
1789,MZ01,3,N02,RCL180-C004,4,9200182,17,11
1790,MZ01,3,N02,RCL181-C003,2,7550002,122,12
1815,MZ01,4,N05,RCL127-C004,3,5502159,4,1
1816,MZ01,4,N05,RCL129-C001,1,7040015,74,2
1817,MZ01,4,N05,RCL131-C001,3,3525061,3,3
1818,MZ01,4,N01,RCL134-C001,4,500302,10,4
1819,MZ01,4,N04,RCL135-C001,1,501429,10,5
1820,MZ01,4,N04,RCL135-C001,4,500410,2,6
1821,MZ01,4,N04,RCL137-C001,1,3018010,113,7
1822,MZ01,4,N03,RCL139-C001,1,5140029,32,8
1823,MZ01,4,N03,RCL141-C003,1,5180007,100,9
1824,MZ01,4,N03,RCL145-C001,3,7040300,16,10
1825,MZ01,4,N03,RCL145-C001,4,7040307,112,11
1826,MZ01,4,N02,RCL146-C002,3,5035001,5,12
1827,MZ01,4,N02,RCL146-C004,3,5203112,4,13
1828,MZ01,4,N02,RCL147-C004,1,5140003,10,14
1829,MZ01,5,N05,RCL108-C001,2,6010025,1543,1
1830,MZ01,5,N05,RCL115-C001,1,4020221,8,2
1831,MZ01,5,N05,RCL115-C003,1,0230001,27,3
1832,MZ01,5,N01,RCL117-C001,5,7060121,45,4
1833,MZ01,5,N01,RCL117-C002,3,7060200,51,5
1834,MZ01,5,N04,RCL117-C003,1,7550970,26,6
1835,MZ01,5,N04,RCL117-C003,4,7060228,22,7
1836,MZ01,5,N04,RCL118-C002,3,5170510,41,8
1837,MZ01,5,N03,RCL118-C003,5,5240417,1,9
1838,MZ01,5,N03,RCL118-C004,1,5140603,1,10
1839,MZ01,5,N03,RCL119-C001,3,3003023,778,11
1840,MZ01,5,N02,RCL119-C001,4,3003074,131,12
1841,MZ01,5,N02,RCL120-C001,3,5120416,10,13
1842,MZ01,5,N02,RCL120-C003,1,5120415,37,14
1843,MZ01,5,N02,RCL120-C004,3,3033011,1,15
1865,MZ01,6,N05,RCL188-C001,3,0560008,3,1
1866,MZ01,6,N05,RCL188-C002,2,91307023,1,2
1867,MZ01,6,N01,RCL188-C002,3,0140741,2,3
1868,MZ01,6,N01,RCL188-C002,4,0006002,30,4
1869,MZ01,6,N04,RCL188-C004,3,2321544,94,5
1870,MZ01,6,N04,RCL189-C002,4,1700127,20,6
1871,MZ01,6,N04,RCL189-C002,4,1700081,37,7
1872,MZ01,6,N04,RCL189-C002,4,1700084,12,8
1873,MZ01,6,N03,RCL189-C003,4,0130006,97,9
1874,MZ01,6,N03,RCL189-C004,5,0610037,2,10
1875,MZ01,6,N02,RCL191-C001,2,0709090,8,11
1876,MZ01,6,N02,RCL192-C001,2,0707027,49,12
1877,MZ01,6,N02,RCL193-C001,2,5009033,30,13
1878,MZ01,7,N05,RCL187-C001,3,9111514,39,1
1879,MZ01,7,N05,RCL187-C001,5,92110191,2,2
1880,MZ01,7,N05,RCL187-C001,5,92110607,6,3
1881,MZ01,7,N01,RCL187-C001,6,9112025,112,4
1882,MZ01,7,N01,RCL187-C002,1,92110185,25,5
1883,MZ01,7,N04,RCL187-C002,2,92110687,1,6
1884,MZ01,7,N01,RCL187-C002,2,9130262,31,7
1885,MZ01,7,N04,RCL187-C004,1,9111198,1,8
1886,MZ01,7,N03,RCL187-C004,3,2321540,29,9
1887,MZ01,7,N03,RCL188-C001,1,9111005,18,10
1888,MZ01,7,N02,RCL188-C001,3,2321876,2,11
1908,MZ01,8,N05,RCL178-C001,3,2392325,6,1
1909,MZ01,8,N05,RCL178-C001,4,2352018,9,2
1910,MZ01,8,N01,RCL179-C001,2,2352011,19,3
1911,MZ01,8,N01,RCL179-C001,4,2392332,4,4
1912,MZ01,8,N01,RCL180-C002,5,9200197,30,5
1913,MZ01,8,N01,RCL180-C003,2,9200238,116,6
1914,MZ01,8,N04,RCL180-C004,1,9200201,133,7
1915,MZ01,8,N04,RCL180-C004,3,9200245,372,8
1916,MZ01,8,N03,RCL180-C004,4,9200195,50,9
1917,MZ01,8,N03,RCL180-C004,5,9200178,98,10
1918,MZ01,8,N03,RCL181-C002,2,915743,365,11
1919,MZ01,8,N02,RCL181-C002,4,9200162,79,12
1920,MZ01,9,N03,RCL173-C001,1,7550361,1,1
1921,MZ01,9,N05,RCL173-C002,2,7062502,18,2
1922,MZ01,9,N05,RCL173-C002,4,7501777,78,3
1923,MZ01,9,N05,RCL173-C003,1,7550482,10,4
1924,MZ01,9,N01,RCL174-C001,1,52440492,5,5
1925,MZ01,9,N01,RCL174-C001,4,052440116,19,6
1926,MZ01,9,N01,RCL174-C002,4,7551035,145,7
1927,MZ01,9,N01,RCL174-C002,4,7550379,12,8
1928,MZ01,9,N04,RCL174-C002,5,7501074,108,9
1929,MZ01,9,N04,RCL174-C003,3,501537,69,10
1930,MZ01,9,N04,RCL174-C003,4,052440047,17,11
1931,MZ01,9,N04,RCL175-C001,2,7551036,42,12
1932,MZ01,9,N03,RCL175-C004,3,7550356,2,13
1933,MZ01,9,N03,RCL177-C001,1,1601016,2,14
1934,MZ01,9,N03,RCL177-C001,2,7002018,3,15
1935,MZ01,9,N02,RCL177-C001,3,901018,5,16
1936,MZ01,9,N02,RCL178-C001,2,2392351,11,17
1937,MZ01,9,N02,RCL178-C001,2,2352014,8,18
1938,MZ01,9,N02,RCL178-C001,2,2392374,6,19
1006,MZ01,10,N05,RCL148-C003,1,7507214,63,1
1007,MZ01,10,N05,RCL153-C002,4,2330300,33,2
1008,MZ01,10,N05,RCL155-C002,2,7502432,71,3
1009,MZ01,10,N01,RCL155-C003,2,7506862,12,4
1010,MZ01,10,N01,RCL161-C004,3,6010027,14,5
1011,MZ01,10,N01,RCL170-C001,2,7507119,257,6
1012,MZ01,10,N01,RCL173-C001,4,7501669,58,7
1013,MZ01,10,N04,RCL178-C001,2,2352322,19,8
1014,MZ01,10,N03,RCL187-C002,4,0011168,10,9
1015,MZ01,10,N03,RCL189-C002,1,0230027,131,10
1016,MZ01,10,N03,RCL189-C002,3,0230029,46,11
1017,MZ01,10,N03,RCL194-C003,3,0230007,93,12
1018,MZ01,10,N02,RCL195-C001,1,5170028,38,13
1038,MZ01,11,N05,RCL175-C003,3,052440049,95,1
1039,MZ01,11,N05,RCL176-C001,1,8352916,4,2
1040,MZ01,11,N01,RCL183-C003,4,0570015,49,3
1041,MZ01,11,N01,RCL184-C001,2,2380003,13,4
1042,MZ01,11,N01,RCL184-C001,3,2392319,6,5
1043,MZ01,11,N04,RCL187-C003,2,0011173,2,6
1044,MZ01,11,N03,RCL189-C001,4,0230010,142,7
1045,MZ01,11,N03,RCL190-C001,3,0707008,37,8
1046,MZ01,11,N03,RCL194-C001,3,0640001,155,9
1047,MZ01,11,N03,RCL194-C002,5,0490029,376,10
1048,MZ01,11,N02,RCL194-C004,4,0420001,3,11
1049,MZ01,11,N02,RCL195-C003,1,9130212,8,12
1050,MZ01,11,N02,RCL196-C002,2,0380021,36,13
1051,MZ01,11,N02,RCL196-C002,2,0420135,706,14
1052,MZ01,12,N01,RCL115-C001,4,4020215,133,1
1053,MZ01,12,N01,RCL118-C001,3,5170514,32,2
1054,MZ01,12,N01,RCL129-C001,2,7041022,20,3
1055,MZ01,12,N01,RCL131-C002,3,3040524,32,4
1056,MZ01,12,N04,RCL131-C002,4,5501135,54,5
1057,MZ01,12,N04,RCL134-C002,4,500458,18,6
1058,MZ01,12,N04,RCL149-C002,3,7506226,71,7
1059,MZ01,12,N03,RCL149-C002,5,7054001,2,8
1060,MZ01,12,N03,RCL152-C004,2,7506219,237,9
1061,MZ01,12,N03,RCL155-C003,1,7506078,7,10
1062,MZ01,12,N02,RCL162-C001,3,2385106,102,11
1063,MZ01,12,N02,RCL165-C001,2,0460953,187,12
1064,MZ01,12,N02,RCL173-C001,4,7501756,250,13
1065,MZ01,12,N02,RCL173-C003,1,7500693,100,14
1066,MZ01,12,N05,RCL201-C004,1,1143006,29,15
1067,MZ01,12,N05,RCL201-C004,2,0460146,2081,16
1068,MZ01,12,N05,RCL201-C004,4,8002023,90,17
1069,MZ01,12,N05,RCL203-C002,3,0380015,17,18
1104,MZ01,13,N03,RCL115-C001,2,4020214,153,1
1105,MZ01,13,N02,RCL118-C002,4,5180405,197,2
1106,MZ01,13,N02,RCL124-C002,3,6020452,19,3
1107,MZ01,13,N02,RCL125-C002,5,6036803,97,4
1108,MZ01,13,N02,RCL129-C001,3,7041021,31,5
1109,MZ01,13,N05,RCL189-C001,3,0640002,216,6
1110,MZ01,13,N05,RCL193-C001,2,7001367,22,7
1111,MZ01,13,N05,RCL195-C001,1,0420136,500,8
1112,MZ01,13,N01,RCL195-C001,4,0230012,129,9
1113,MZ01,13,N01,RCL196-C001,2,0490010,2,10
1114,MZ01,13,N04,RCL198-C001,3,1195036,12,11
1115,MZ01,13,N04,RCL198-C001,5,8002006,3280,12
1116,MZ01,13,N04,RCL200-C001,1,1205000,9,13
1117,MZ01,13,N04,RCL201-C004,4,8002007,821,14
1118,MZ01,13,N03,RCL202-C001,1,0610147,29,15
1119,MZ01,13,N03,RCL202-C002,4,2321058,85,16
1120,MZ01,13,N03,RCL203-C002,2,0150001,25,17
1121,MZ01,14,N05,RCL141-C003,2,5170020,318,1
1122,MZ01,14,N05,RCL142-C001,3,5140007,13,2
1123,MZ01,14,N05,RCL149-C002,1,7062404,164,3
1124,MZ01,14,N01,RCL153-C001,2,7506125,13,4
1125,MZ01,14,N01,RCL153-C003,4,7062412,62,5
1126,MZ01,14,N01,RCL155-C002,1,7506242,58,6
1127,MZ01,14,N01,RCL155-C003,3,7507246,110,7
1128,MZ01,14,N04,RCL159-C001,4,2385092,34,8
1129,MZ01,14,N04,RCL159-C002,4,878629,22,9
1130,MZ01,14,N04,RCL168-C004,3,038070002,5,10
1131,MZ01,14,N03,RCL175-C003,2,52440427,34,11
1132,MZ01,14,N03,RCL180-C002,1,9200317,51,12
1133,MZ01,14,N03,RCL180-C002,2,9200149,68,13
1134,MZ01,14,N03,RCL181-C001,4,9200327,25,14
1135,MZ01,14,N02,RCL182-C002,2,01757931,39,15
1136,MZ01,14,N02,RCL187-C002,4,2321370,175,16
1137,MZ01,14,N02,RCL187-C004,2,92110611,10,17
1138,MZ01,14,N02,RCL188-C004,2,9111576,58,18
1173,MZ01,15,N05,RCL139-C003,3,5180044,4,1
1174,MZ01,15,N05,RCL139-C004,1,5240023,12,2
1175,MZ01,15,N05,RCL145-C001,5,7040007,210,3
1176,MZ01,15,N01,RCL146-C003,3,5035002,17,4
1177,MZ01,15,N01,RCL147-C001,4,7506156,37,5
1178,MZ01,15,N01,RCL147-C002,2,7506017,25,6
1179,MZ01,15,N01,RCL147-C004,3,7507240,46,7
1180,MZ01,15,N04,RCL148-C001,1,7506422,49,8
1181,MZ01,15,N04,RCL152-C003,2,7506104,65,9
1182,MZ01,15,N04,RCL152-C003,3,9041820,50,10
1183,MZ01,15,N03,RCL152-C004,2,7090046,4,11
1184,MZ01,15,N03,RCL155-C003,2,7506154,67,12
1185,MZ01,15,N03,RCL155-C003,2,7507206,20,13
1186,MZ01,15,N02,RCL155-C003,4,7171304,51,14
1187,MZ01,15,N02,RCL157-C001,5,7054040,320,15
1188,MZ01,15,N02,RCL159-C002,2,2385093,45,16
1,MZ01,16,N05,RCL117-C002,2,7060241,318,1
2,MZ01,16,N04,RCL131-C001,4,6104588,340,2
3,MZ01,16,N04,RCL131-C002,4,5501136,268,3
4,MZ01,16,N02,RCL131-C003,4,6100130,383,4
5,MZ01,16,N02,RCL132-C001,4,6104570,2606,5
6,MZ01,16,N01,RCL136-C001,1,500110,618,6
7,MZ01,16,N02,RCL138-C004,4,5170012,858,7
8,MZ01,16,N03,RCL139-C003,4,5170015,467,8
9,MZ01,16,N04,RCL142-C001,4,7506190,411,9
10,MZ01,16,N03,RCL159-C001,2,1628821,979,10
11,MZ01,16,N05,RCL160-C002,4,665597,645,11
12,MZ01,16,N05,RCL160-C003,3,1628820,472,12
13,MZ01,16,N02,RCL160-C004,3,2352300,188,13
14,MZ01,16,N01,RCL160-C004,5,2385008,154,14
15,MZ01,16,N01,RCL164-C001,2,4530146,126,15
16,MZ01,16,N01,RCL167-C003,4,2330404,5,16
19,MZ01,17,N03,RCL117-C003,3,7060101,449,1
20,MZ01,17,N02,RCL122-C001,5,6020412,1047,2
21,MZ01,17,N05,RCL126-C004,2,6100165,51,3
22,MZ01,17,N02,RCL131-C001,4,5501125,330,4
23,MZ01,17,N01,RCL131-C002,1,6100166,197,5
24,MZ01,17,N01,RCL131-C002,4,61003012,54,6
25,MZ01,17,N03,RCL132-C002,3,3525093,92,7
26,MZ01,17,N01,RCL132-C002,4,6100127,157,8
