articulo,descripcion,largo_cm,ancho_cm,alto_cm,peso_kg,cantidad_maxima
7062400,Conector grande rojo cable  al    Eagle,17,14,5,0.28,1652
7062402,Conector mediano amarillo cable  al   Eagle,12,5.1,9,0.4,1066
92110228,Disco corte Standard metalinox plano    x  x mm  Bosch,12,12,1,0.02,5020
7551024,Breaker  polo A Tiven N Bticino,8,8,2,0.12,5000
2321981,Disco corte metalacero inox   xxmm Abracol,12.5,5.5,6,0.64,3500
7501137,Toma doble TR A  polos  tierra blanco Luzica PUTR Bticino,15,12,4,0.06,3000
7060125,Gaza  oreja EMT  UL OSP PST,5,2,2,0.02,3000
7506388,Interruptor doble lnea Plata blanco W Eagle,15,10,4,0.08,2900
7506392,Interruptor sencillo lnea Plata blanco W Eagle,19,11,3,0.06,2845
2321035,Disco corte metal  inox   x  mm x  mm DTAC Dyllu,11,8,1,0.02,2524
8690033,Inflador porttil V  PSI con luz LED AF Campbell,19,13.5,10.5,0.84,2362
7506082,Toma doble Decor A V TR blanco TRW Eagle,13,4,3,0.06,2084
6100410,Cernidor bellobanho gris Lorenzetti,13,13,13,0.1,2000
7060124,Gaza  oreja EMT  UL OSP PST,6,2,2,0.01,2000
2385710,Cinta tefln  x m WT Coflex,6,6,2,0.02,1880
7550974,Caja cuadrada EMT    doble fondo UL  PST,9.5,9.5,6,0.34,1800
9200150,Codo  campana cementada SCH presin  blanco  Amanco,8.5,4,3.5,0.02,1800
2385705,Cinta tefln  x m WT Coflex,5,5,2,0.01,1758
9111502,Lija esponja taco fino  Bosch,10,7,2.5,0.02,1623
7025204,Base de  pines rs  Eagle,15,7,2,0.02,1608
9041010,Conector macho conduit tipo A UL  gris  Amanco,3,3,3.3,0.01,1600
5140019,Flanger llave control  cromado IP Coflex,17.5,11.5,0.09,0.01,1553
9111501,Lija esponja cua fino  Bosch,10,7,2.5,0.02,1473
9200314,Caja octagonal conduit  gris  Amanco,10,10,5,0.08,1448
6104570,Resistencia T Ultra V W Lorenzetti,17,5,1,0.02,1416
5180021,Tubo abasto acero fregadero  AM x  AM  cm ALK Coflex,55,3,3,0.1,1400
7550005,Tapa caja octagonal conduit  gris  Amanco,11,11,0.3,0.04,1350
7501135,Interruptor sencillo  polo A blanco Luzica PU Bticino,16,9,6,0.04,1300
7062417,Conector polarizado A V  Eagle,12,6,5,0.06,1300
9111430,Disco corte Expert inox plano   x  x mm  Bosch,22,21,1,0.22,1250
2385700,Cinta tefln  x m WT Coflex,6,6,2,0.01,1250
2321020,Disco corte metal   x  x    M,11.5,11.5,5,0.74,1200
7502430,Enchufe polarizado A V  Eagle,7,3,9,0.1,1200
9041032,Unin conduit tipo A UL  gris  Amanco,7,2.5,2.5,0.02,1200
9200123,Adaptador macho campana cementada SCH crosca  blanco  Amanco,4,2,2,0.02,1200
7507059,Placa para intemperie IP negra con dos tomas lnea TJ IPWBK Eagle,20,10,4,0.12,1184
2321036,Disco corte metal  inox   x  mm DTDC Dyllu,10.5,10,5,0.84,1175
1520018,Bisagra  x  niquelada N National,13,5,3,0.26,1167
7502424,Enchufe plano blanco A V W Eagle,12,6,1,0.02,1163
7040807,Bombillo para lmpara veladora  Eagle,10,7,1.5,0.01,1121
7550923,Caja octogonal EMT  x  UL  PST,9,9,2,0.22,1100
7506136,Interruptor superficial A V V Eagle,9,6,4,0.04,1098
