mz_pasillo,mz_columna,mz_nivel,mz_subnivel,rcl_codigo,rcl_nivel,rcl_subnivel,estado_rcl
MZ01,1,1,1,RCL112-C001,1,1,asignado
MZ01,1,2,1,RCL112-C001,2,1,asignado
MZ01,1,3,1,RCL112-C001,3,1,asignado
MZ01,1,4,1,RCL112-C001,4,1,asignado
MZ01,1,5,1,RCL112-C001,5,1,asignado
MZ01,2,1,1,RCL111-C001,1,1,asignado
MZ01,2,2,1,RCL111-C001,2,1,asignado
MZ01,2,3,1,RCL111-C001,3,1,asignado
MZ01,2,4,1,RCL111-C001,4,1,asignado
MZ01,2,5,1,RCL111-C001,5,1,asignado
MZ01,3,1,1,RCL121-C001,1,1,asignado
MZ01,3,2,1,RCL121-C001,2,1,asignado
MZ01,3,3,1,RCL121-C001,3,1,asignado
MZ01,3,4,1,RCL121-C001,4,1,asignado
MZ01,3,5,1,RCL121-C001,5,1,asignado
MZ01,4,1,1,RCL122-C001,1,1,asignado
MZ01,4,2,1,RCL122-C001,2,1,asignado
MZ01,4,3,1,RCL122-C001,3,1,asignado
MZ01,4,4,1,RCL122-C001,4,1,asignado
MZ01,4,5,1,RCL122-C001,5,1,asignado
MZ01,5,1,1,RCL128-C001,1,1,asignado
MZ01,5,2,1,RCL128-C001,2,1,asignado
MZ01,5,3,1,RCL128-C001,3,1,asignado
MZ01,5,4,1,RCL128-C001,4,1,asignado
MZ01,5,5,1,RCL128-C001,5,1,asignado
MZ01,6,1,1,RCL123-C001,1,1,asignado
MZ01,6,2,1,RCL123-C001,2,1,asignado
MZ01,6,3,1,RCL123-C001,3,1,asignado
MZ01,6,4,1,RCL123-C001,4,1,asignado
MZ01,6,5,1,RCL123-C001,5,1,asignado
MZ01,7,1,1,RCL117-C002,1,1,asignado
MZ01,7,2,1,RCL117-C002,2,1,asignado
MZ01,7,3,1,RCL117-C002,3,1,asignado
MZ01,7,4,1,RCL117-C002,4,1,asignado
MZ01,7,5,1,RCL117-C002,5,1,asignado
MZ01,8,1,1,RCL117-C001,1,1,asignado
MZ01,8,2,1,RCL117-C001,2,1,asignado
MZ01,8,3,1,RCL117-C001,3,1,asignado
MZ01,8,4,1,RCL117-C001,4,1,asignado
MZ01,8,5,1,RCL117-C001,5,1,asignado
MZ01,9,1,1,RCL119-C002,1,1,asignado
MZ01,9,2,1,RCL119-C002,2,1,asignado
MZ01,9,3,1,RCL119-C002,3,1,asignado
MZ01,9,4,1,RCL119-C002,4,1,asignado
MZ01,9,5,1,RCL119-C002,5,1,asignado
MZ01,10,1,1,RCL135-C001,1,1,asignado
MZ01,10,2,1,RCL135-C001,2,1,asignado
MZ01,10,3,1,RCL135-C001,3,1,asignado
MZ01,10,4,1,RCL135-C001,4,1,asignado
MZ01,10,5,1,RCL135-C001,5,1,asignado
MZ01,11,1,1,RCL136-C001,1,1,asignado
MZ01,11,2,1,RCL136-C001,2,1,asignado
MZ01,11,3,1,RCL136-C001,3,1,asignado
MZ01,11,4,1,RCL136-C001,4,1,asignado
MZ01,11,5,1,RCL136-C001,5,1,asignado
MZ01,12,1,1,RCL142-C001,1,1,asignado
MZ01,12,2,1,RCL142-C001,2,1,asignado
MZ01,12,3,1,RCL142-C001,3,1,asignado
MZ01,12,4,1,RCL142-C001,4,1,asignado
MZ01,12,5,1,RCL142-C001,5,1,asignado
MZ01,13,1,1,RCL143-C001,1,1,asignado
MZ01,13,2,1,RCL143-C001,2,1,asignado
MZ01,13,3,1,RCL143-C001,3,1,asignado
MZ01,13,4,1,RCL143-C001,4,1,asignado
MZ01,13,5,1,RCL143-C001,5,1,asignado
MZ01,14,1,1,RCL148-C004,1,1,asignado
MZ01,14,2,1,RCL148-C004,2,1,asignado
MZ01,14,3,1,RCL148-C004,3,1,asignado
MZ01,14,4,1,RCL148-C004,4,1,asignado
MZ01,14,5,1,RCL148-C004,5,1,asignado
MZ01,15,1,1,RCL144-C001,1,1,asignado
MZ01,15,2,1,RCL144-C001,2,1,asignado
MZ01,15,3,1,RCL144-C001,3,1,asignado
MZ01,15,4,1,RCL144-C001,4,1,asignado
MZ01,15,5,1,RCL144-C001,5,1,asignado
MZ01,16,1,1,RCL145-C001,1,1,asignado
