articulo,pasillo,columna,nivel,clase,tipo,picks,consumo,rack_actual,niveles_a_armar
0420006,MZ01,1,N01,D,NORMAL,3,0,SIN UBICACIÓN ACTUAL,5
0560004,MZ01,1,N01,D,NORMAL,3,0.008,RCL195-C004-N01-1,5
9111008,MZ01,1,N01,D,NORMAL,3,0.001,RCL195-C004-N02-1,5
9112036,MZ01,1,N01,D,NORMAL,3,0.001,RCL195-C004-N03-1,5
3070002,MZ01,1,N02,D,NORMAL,3,0.003,RCL201-C001-N02-1,5
7041029,MZ01,1,N02,D,NORMAL,3,0.064,RCL83-C004-N05-1,5
7041020,MZ01,1,N02,D,NORMAL,3,0.11,RCL83-C004-N04-1,5
023690004,MZ01,1,N02,D,NORMAL,3,0.004,RCL83-C003-N02-1,5
1205020,MZ01,1,N03,D,NORMAL,3,0.002,SIN UBICACIÓN ACTUAL,5
1205009,MZ01,1,N03,D,NORMAL,3,0.048,RCL200-C001-N02-1,5
1205011,MZ01,1,N03,D,NORMAL,3,0.01,RCL200-C001-N03-1,5
1205023,MZ01,1,N03,D,NORMAL,3,0.001,RCL200-C001-N04-1,5
3018005,MZ01,1,N04,D,NORMAL,3,0.004,RCL197-C002-N05-1,5
0011152,MZ01,1,N04,D,NORMAL,3,0.001,RCL195-C003-N08-1 / RCL195-C004-N07-1 / RCL195-C004-N08-1,5
9112030,MZ01,1,N04,D,NORMAL,3,0.004,RCL195-C004-N06-1,5
9130242,MZ01,1,N04,D,NORMAL,3,0.001,SIN UBICACIÓN ACTUAL,5
92110147,MZ01,1,N05,D,NORMAL,3,0.005,RCL195-C004-N01-1,5
9111279,MZ01,1,N05,D,NORMAL,3,0.001,RCL195-C003-N08-1 / RCL195-C004-N01-1 / RCL195-C004-N08-1,5
0560001,MZ01,1,N05,D,NORMAL,3,0.009,RCL195-C003-N07-1,5
0011154,MZ01,1,N05,D,NORMAL,3,0.001,RCL194-C004-N08-1 / RCL195-C003-N07-1 / RCL195-C003-N08-1 / RCL195-C004-N08-1,5
